Game,#,Text/Question,Category,Correct Answer,Option B,Option C,Option D,Explanation
JEOPARDY,9,"What is the biggest data privacy risk when using public GenAI tools?","AI Risks & Data","Putting confidential data into prompts","Slow response time","Poor grammar in output","High internet usage","Personal data, financial data, strategy documents can leak through public AI services."
JEOPARDY,10,"Which are known risks of AI becoming visible after Nov 2022?","AI Risks & Data","Hallucinations, fake citations, bias, deepfakes","Faster internet speeds","Lower electricity costs","Better phone cameras","Risks like hallucinations, misinformation, plagiarism, bias, deepfakes became visible to everyone."
RISK,1,"You paste a confidential strategy document into personal ChatGPT to summarise it quickly for a presentation.",,"RISK",,,,"Public AI services can leak your data. Use only approved enterprise AI tools."
RISK,2,"Before prompting the company AI tool, you check: Is there personal data? Am I using an approved tool? Do I understand the purpose? Am I sharing only what is needed?",,"SAFE",,,,"This is the PAUSE framework in action — the responsible way to use AI at work."
RISK,3,"You print out a customer complaint that includes their IC number and leave it on your desk while you attend a 2-hour meeting.",,"RISK",,,,"Printed personal data left unattended can be seen or taken by anyone."
RISK,4,"An AI tool generates a market analysis report. Before sharing it with leadership, you verify the data sources, check for hallucinations, and confirm accuracy.",,"SAFE",,,,"The E in PAUSE: Evaluate the output. Check AI-generated content for accuracy, bias, and completeness."
RISK,5,"You forward a colleague HR performance review email to your personal Gmail so you can read it on the train home.",,"RISK",,,,"Personal email is outside company security controls. Personal data must stay in approved systems only."
RISK,6,"You use the enterprise AI platform with incognito chat mode enabled, ensuring no history and no data retention.",,"SAFE",,,,"Best practice: AI Sees Nothing — incognito chat, no history, no retention."
RISK,7,"A vendor sends you an AI-powered analytics tool and asks you to upload your full employee database for a ""quick demo"".",,"RISK",,,,"Never share personal data with unapproved third parties. Validate the recipient, confirm purpose, get approval first."
RISK,8,"You notice your team shared drive still has CVs from a 2019 recruitment round. You flag it for deletion following the retention schedule.",,"SAFE",,,,"Retention Principle: keep data only as long as needed."
RISK,9,"You let an AI tool make the final hiring decision without any human review because it is faster and ""unbiased"".",,"RISK",,,,"Humans remain accountable for AI decisions. AI should assist, not replace human judgment."
RISK,10,"After spotting unusual data access logs, you document what happened, when it occurred, and who may be affected, then report it immediately.",,"SAFE",,,,"See It. Note It. Report It."
CROSSWORD,1,"across","CONFIDENTIAL","Classification tag for documents that unauthorised people must never see.",,,,
CROSSWORD,2,"across","GROUNDS","Lawful ___ : the legal basis you need before processing personal data.",,,,
CROSSWORD,3,"down","CONSENT","The PDPA principle: process only with ___ or where the law allows it.",,,,
CROSSWORD,4,"down","NOTICE","Tell people what you collect and why — put this on your first page.",,,,
CROSSWORD,5,"down","INTEGRITY","Data ___ Principle: keep data accurate, complete and up to date.",,,,
CROSSWORD,6,"down","EMPLOYEE","Every ___ is responsible for protecting personal data at work.",,,,
CROSSWORD,7,"down","TRAINING","AI processes your input but never ___ on it (Training Off best practice).",,,,
CROSSWORD,8,"down","ACCESS","PDPA principle: let people view and correct their own data.",,,,
